CENSUS_YEAR,DGUID,ALT_GEO_CODE,GEO_LEVEL,GEO_NAME,DATA_QUALITY_FLAG,population_2021,population_density_km2,age_65_plus_pct,average_household_size,median_total_income_2020,low_income_lim_at_pct,renter_households_pct,shelter_cost_30pct_plus_pct,bachelor_or_higher_age25_64_pct,unemployment_rate_pct
2021,2021S05078250042.01,8250042.01,Census tract,8250042.01,00000,5345,6135.2,22.3,1.5,35600,29.2,77,30.7,55.3,9.9
2021,2021S05078250042.02,8250042.02,Census tract,8250042.02,00000,980,1789.6,6.6,1.5,60000,13.4,55.7,35.7,64.9,11.7
2021,2021S05078250043.00,8250043.00,Census tract,8250043.00,00010,7563,4652.4,19.8,1.6,42400,20.4,75.1,35.2,59.2,12.7
2021,2021S05078250044.00,8250044.00,Census tract,8250044.00,00000,9322,11591.6,7.3,1.5,47600,16.4,76.6,36.2,55.5,11.7
2021,2021S05078250045.01,8250045.01,Census tract,8250045.01,00000,3471,17901,7.6,1.7,40800,17.3,76.3,35.5,42.5,13.9
2021,2021S05078250045.02,8250045.02,Census tract,8250045.02,00000,6252,15912.4,10.5,1.6,50000,15.5,73.4,29.9,63.6,11.5
2021,2021S05078250046.01,8250046.01,Census tract,8250046.01,00000,7333,12858.1,7.6,1.7,42000,18.4,81.8,32.7,60.2,13.4
2021,2021S05078250046.02,8250046.02,Census tract,8250046.02,00000,4579,2628.1,8.2,1.9,43600,13.7,61.7,31.5,52.3,13.9
2021,2021S05078250047.00,8250047.00,Census tract,8250047.00,00000,5298,3334.6,9.9,2.2,39200,16.2,62.1,31.2,43.9,13.1
2021,2021S05078250048.00,8250048.00,Census tract,8250048.00,00000,6323,2123.5,17.6,2.1,44400,16.5,50.3,27.5,56.7,13.9
2021,2021S05078250049.01,8250049.01,Census tract,8250049.01,00000,4195,1266.5,17.4,2.4,50400,7.5,21.8,15.8,47.8,9.6
2021,2021S05078250049.04,8250049.04,Census tract,8250049.04,00000,3383,2752.6,22.5,2.3,51200,6.9,16.2,17.6,47.4,10.5
2021,2021S05078250049.05,8250049.05,Census tract,8250049.05,00000,4169,2004.1,25.2,2.1,48800,10,28.3,26.9,53.8,15.6
2021,2021S05078250049.06,8250049.06,Census tract,8250049.06,00000,4262,2530.1,20.9,2.7,54800,6.8,9.7,15.7,60.1,13.2
2021,2021S05078250049.07,8250049.07,Census tract,8250049.07,00000,2084,2607.6,31,2.7,54800,4.4,6.4,15,65.1,18.5
2021,2021S05078250050.01,8250050.01,Census tract,8250050.01,00000,3998,2330.9,17.5,2.1,40000,14.1,53.8,25.8,23.8,13.3
2021,2021S05078250050.07,8250050.07,Census tract,8250050.07,00000,3105,1149.4,20.5,2.1,39600,13.8,27.6,22.7,27.1,12.1
2021,2021S05078250050.10,8250050.10,Census tract,8250050.10,00000,8059,3297.1,8.3,3,58800,6.5,12.9,18.7,64.6,12.6
2021,2021S05078250050.12,8250050.12,Census tract,8250050.12,00000,6602,1737.8,12,3,53600,6.6,11.7,21.7,63.5,12.1
2021,2021S05078250050.13,8250050.13,Census tract,8250050.13,00000,3311,1114,8.9,3,50800,7.5,25,24,64.2,10.2
2021,2021S05078250050.14,8250050.14,Census tract,8250050.14,00000,4256,1222.2,13.6,2.6,55200,6.1,19.3,21.4,68.4,13.6
2021,2021S05078250050.15,8250050.15,Census tract,8250050.15,00000,3573,1363.2,6.2,3.2,65000,6.6,9,12.6,69.2,12.1
